REPERTOIRE	SONG	MODULE	x	LAST	DUE	NOTES	RECORDED	LAST RECORDED																		
100%	Waitin' On Ya	NEOSOUL	13	2026-07-25	2026-11-14	Did the loop; a bit hard. Forgot all the licks																				
80%	Didn't Cha Know	RNB	13	2026-07-19	2026-12-01	Need some creative practice (see issue #2 in music-tools repo); need to download and use live recording with impro																				
80%	le freak	DANCE	12	2026-07-17	2026-12-03																					
70%	espresso	DANCE	13	2026-07-23	2027-01-05	need to practice bridge as one unit																				

